flight_no,airline,duration,price,most_common_depart_day,most_common_depart_time,most_common_meal,most_common_equipment,avg_on_time,departure airport,departure city,arrival airport,arrival city
1331,Delta,190,339.4778049,Wednesday,12:15:00,Refreshment for purchase,BOEING (DOUGLAS) MD-88,100,"Boston, USA",BOS,"Atlanta, USA",ATL
6280,Delta,152,273.8069139,Wednesday,6:25:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
3836,Delta,165,426.25,Wednesday,14:50:00,,,90,"Boston, USA",BOS,"Indianapolis, USA",IND
6256,Delta,127,213.7106107,Monday,6:00:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
693,United,406,393.5392,Saturday,21:07:00,Food and beverage for purchase,Boeing 737-800,-1,"Boston, USA",BOS,"San Francisco, USA",SFO
857,American Airlines,144,264.9957895,Sunday,9:40:00,Food For Purchase,Airbus A320,90,"Boston, USA",BOS,"Charlotte, USA",CLT
538,American Airlines,351,252.6,Saturday,9:45:00,Food For Purchase,Airbus A320,100,"Boston, USA",BOS,"Phoenix, USA",PHX
372,United,171,259.3695868,Wednesday,6:47:00,Food and beverage for purchase,Boeing 737-900,100,"Boston, USA",BOS,"Chicago, USA",ORD
919,American Airlines,83,229.6142085,Monday,19:40:00,,,-1,"Boston, USA",BOS,"New York, USA",JFK
1580,American Airlines,208,245.4375,Monday,6:40:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Miami, USA",MIA
2116,American Airlines,92,202.4535616,Wednesday,20:00:00,,Airbus A319,80,"Boston, USA",BOS,"Washington, USA",DCA
1194,United,169,254.9696022,Wednesday,15:00:00,Food and beverage for purchase,Airbus A320,90,"Boston, USA",BOS,"Chicago, USA",ORD
6257,Delta,127,298.9889362,Monday,11:30:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
1006,American Airlines,212,305.9725581,Sunday,15:15:00,Food For Purchase,,90,"Boston, USA",BOS,"Miami, USA",MIA
1366,Delta,187,400.0501282,Friday,14:35:00,Refreshment for purchase,Boeing 757,90,"Boston, USA",BOS,"Minneapolis, USA",MSP
2454,American Airlines,200,209.3857143,Monday,5:00:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"Miami, USA",MIA
3712,Delta,154,274.9155844,Friday,6:00:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
1873,Cape Air,55,613.8095,Saturday,10:05:00,,Cessna,-1,"Boston, USA",BOS,"Lebanon, USA",LEB
1710,United,78,184.7279098,Wednesday,9:30:00,,Boeing 737-700,100,"Boston, USA",BOS,"Newark, USA",EWR
2598,Delta,88,214.0183333,Saturday,18:00:00,,Airbus A319,-1,"Boston, USA",BOS,"New York, USA",JFK
1355,Virgin America,390,321.2571429,Saturday,10:15:00,,Airbus A320,-1,"Boston, USA",BOS,"San Francisco, USA",SFO
1211,American Airlines,250,270.0938699,Sunday,13:05:00,Food For Purchase,,100,"Boston, USA",BOS,"Dallas, USA",DFW
439,United,165,243.3252162,Wednesday,18:27:00,Food and beverage for purchase,Boeing 737-800,100,"Boston, USA",BOS,"Chicago, USA",ORD
2737,Delta,81,261.195,Wednesday,12:00:00,,Embraer 175,90,"Boston, USA",BOS,"New York, USA",LGA
2790,Delta,189,331.7968254,Tuesday,18:43:00,Refreshment for purchase,Airbus A320,90,"Boston, USA",BOS,"Minneapolis, USA",MSP
993,JetBlue Airways,278,214.7766816,Monday,19:30:00,,Airbus A320,80,"Boston, USA",BOS,"Denver, USA",DEN
3886,Delta,84,303.6086441,Wednesday,17:00:00,,,80,"Boston, USA",BOS,"New York, USA",JFK
857,Spirit Airlines,249,152.0243499,Thursday,12:51:00,,Airbus A320,-1,"Boston, USA",BOS,"Dallas, USA",DFW
57,JetBlue Airways,102,174.89,Thursday,6:45:00,,Embraer 190,91,"Boston, USA",BOS,"Washington, USA",IAD
2191,JetBlue Airways,212,1193.4,Friday,8:25:00,,Airbus A320,80,"Boston, USA",BOS,"Tampa, USA",TPA
2083,Delta,329,226.2572945,Wednesday,6:50:00,Food For Purchase,Airbus A320,90,"Boston, USA",BOS,"Salt Lake City, USA",SLC
6211,Delta,128,232.3834286,Thursday,6:00:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
