Origin,Org_Lat,Org_Lon,Dest,Dest_Lat,Dest_Lon,Day_Of_Week,Avg_Delay
SFO,37.618972,-122.374889,FAT,36.776194,-119.71814,6,16.86
DCA,38.852083,-77.037722,PNS,30.473425,-87.186611,5,44.29
SAN,32.733556,-117.189667,BOI,43.564361,-116.222861,5,-2.31
PDX,45.588722,-122.5975,SMF,38.695417,-121.590778,5,8.02
MEM,35.042417,-89.976667,PHL,39.871944,-75.241139,2,14.41
ORD,41.978603,-87.904842,SYR,43.111187,-76.106311,6,13.27
ORF,36.894611,-76.201222,MIA,25.79325,-80.290556,5,12.62
IND,39.717331,-86.294383,TPA,27.975472,-82.53325,0,7.17
JAX,30.494056,-81.687861,IAD,38.944533,-77.455811,0,13.66
SMF,38.695417,-121.590778,DAL,32.847111,-96.851778,1,0.74
IAD,38.944533,-77.455811,BNA,36.124472,-86.678194,4,14.96
SJC,37.3626,-121.929022,KOA,19.738767,-156.045631,4,7.35
SEA,47.449,-122.309306,ATL,33.636719,-84.428067,3,6.13
GSP,34.895556,-82.218889,DFW,32.896828,-97.037997,1,11.85
ATL,33.636719,-84.428067,ICT,37.649944,-97.433056,2,12.05
EWR,40.6925,-74.168667,SYR,43.111187,-76.106311,5,1.40
PHL,39.871944,-75.241139,BWI,39.175361,-76.668333,1,10.10
MSP,44.881956,-93.221767,HRL,26.2285,-97.654389,4,21.67
DEN,39.861656,-104.673178,RNO,39.499108,-119.768108,1,10.03
ATL,33.636719,-84.428067,AGS,33.369944,-81.9645,1,9.03
EGE,39.642556,-106.917694,ORD,41.978603,-87.904842,6,49.77
CAK,40.9160833,-81.4421944,DEN,39.861656,-104.673178,2,5.70
PDX,45.588722,-122.5975,DTW,42.212444,-83.353389,3,3.10
ABQ,35.0402222,-106.6091944,MCO,28.429394,-81.308994,4,21.79
GEG,47.619861,-117.533833,MSP,44.881956,-93.221767,6,1.86
MEM,35.042417,-89.976667,MIA,25.79325,-80.290556,1,6.17
BHM,33.562942,-86.75355,DTW,42.212444,-83.353389,3,8.13
GJT,39.122413,-108.526735,DFW,32.896828,-97.037997,6,7.62
FLL,26.072583,-80.15275,RDU,35.877639,-78.787472,6,9.71
SLC,40.788389,-111.977772,SAN,32.733556,-117.189667,1,1.91
IAD,38.944533,-77.455811,TPA,27.975472,-82.53325,4,11.78
LGA,40.777245,-73.872608,ORF,36.894611,-76.201222,5,7.97
ORD,41.978603,-87.904842,TPA,27.975472,-82.53325,2,17.96
MCI,39.297606,-94.713905,DTW,42.212444,-83.353389,5,2.40
MSY,29.993389,-90.258028,EYW,24.556111,-81.759556,5,5.70
BWI,39.175361,-76.668333,CHS,32.898647,-80.040528,5,10.14
MEM,35.042417,-89.976667,MSP,44.881956,-93.221767,6,2.17
CVG,39.048836,-84.667822,MCI,39.297606,-94.713905,2,5.71
ASE,39.2232,-106.869,LAX,33.942536,-118.408075,6,17.24
DTW,42.212444,-83.353389,TYS,35.810972,-83.994028,5,9.40
CVG,39.048836,-84.667822,RSW,26.536167,-81.755167,4,0.79
BUF,42.940525,-78.732167,LAS,36.080056,-115.15225,2,9.18
MCO,28.429394,-81.308994,FNT,42.965424,-83.743629,0,16.27
DEN,39.861656,-104.673178,DSM,41.533972,-93.663083,6,13.15
YAK,59.3012,-139.3937,JNU,58.354972,-134.576278,6,-11.18
DEN,39.861656,-104.673178,MSP,44.881956,-93.221767,6,10.09
LAX,33.942536,-118.408075,PHX,33.434278,-112.011583,4,11.30
ORD,41.978603,-87.904842,GRB,44.485072,-88.129589,6,10.44
DEN,39.861656,-104.673178,DFW,32.896828,-97.037997,5,10.69
MKE,42.947222,-87.896583,MEM,35.042417,-89.976667,4,7.08
IAH,29.984433,-95.341442,PNS,30.473425,-87.186611,1,6.64
BWI,39.175361,-76.668333,ROC,43.118866,-77.672389,0,16.70
LAX,33.942536,-118.408075,BFL,35.433598,-119.05677,0,2.47
PDX,45.588722,-122.5975,ABQ,35.0402222,-106.6091944,3,4.58
TYS,35.810972,-83.994028,EWR,40.6925,-74.168667,4,21.93
SEA,47.449,-122.309306,IAD,38.944533,-77.455811,6,8.32
DCA,38.852083,-77.037722,CHS,32.898647,-80.040528,0,6.27
OMA,41.303167,-95.894069,PHX,33.434278,-112.011583,3,5.37
CVG,39.048836,-84.667822,SFO,37.618972,-122.374889,5,3.91
DAL,32.847111,-96.851778,SFO,37.618972,-122.374889,2,14.30
IAH,29.984433,-95.341442,BNA,36.124472,-86.678194,5,9.58
PIT,40.491467,-80.232872,ORD,41.978603,-87.904842,6,9.96
SLC,40.788389,-111.977772,BTM,45.954806,-112.497472,3,-1.61
DEN,39.861656,-104.673178,SEA,47.449,-122.309306,1,9.31
MLU,32.510864,-92.037689,ATL,33.636719,-84.428067,0,13.64
EWR,40.6925,-74.168667,LAX,33.942536,-118.408075,2,14.25
CLT,35.214,-80.943139,ROC,43.118866,-77.672389,3,6.47
PDX,45.588722,-122.5975,BOI,43.564361,-116.222861,3,2.66
EWR,40.6925,-74.168667,BOS,42.364347,-71.005181,6,10.77
DTW,42.212444,-83.353389,MDW,41.785972,-87.752417,6,8.21
SLC,40.788389,-111.977772,DCA,38.852083,-77.037722,5,3.89
DTW,42.212444,-83.353389,DCA,38.852083,-77.037722,1,5.78
RDU,35.877639,-78.787472,DTW,42.212444,-83.353389,2,4.21
SAN,32.733556,-117.189667,BOI,43.564361,-116.222861,3,1.07
BNA,36.124472,-86.678194,LGA,40.777245,-73.872608,3,16.93
HOU,29.645419,-95.278889,JFK,40.639751,-73.778925,4,12.72
HRL,26.2285,-97.654389,MSP,44.881956,-93.221767,6,12.00
ATL,33.636719,-84.428067,PWM,43.646161,-70.309281,6,8.64
BOS,42.364347,-71.005181,CAK,40.9160833,-81.4421944,6,16.86
RSW,26.536167,-81.755167,CMH,39.997972,-82.891889,0,6.73
IAH,29.984433,-95.341442,RDU,35.877639,-78.787472,6,11.33
HSV,34.6371944,-86.7750556,ATL,33.636719,-84.428067,4,6.50
BOS,42.364347,-71.005181,LGA,40.777245,-73.872608,6,2.97
CLT,35.214,-80.943139,SDF,38.1740858,-85.7364989,2,11.88
SAT,29.533694,-98.469778,DAL,32.847111,-96.851778,1,5.63
BUF,42.940525,-78.732167,BWI,39.175361,-76.668333,6,9.49
SEA,47.449,-122.309306,BOI,43.564361,-116.222861,6,5.33
TUS,32.116083,-110.941028,IAH,29.984433,-95.341442,3,6.26
ORD,41.978603,-87.904842,MHT,42.932556,-71.435667,6,21.59
DFW,32.896828,-97.037997,CMH,39.997972,-82.891889,3,13.82
OKC,35.393089,-97.600733,DFW,32.896828,-97.037997,5,7.89
ASE,39.2232,-106.869,LAX,33.942536,-118.408075,4,19.85
