Origin,Org_Lat,Org_Lon,Dest,Dest_Lat,Dest_Lon,Time_Of_Day,Avg_Delay
BUF,42.940525,-78.732167,ATL,33.636719,-84.428067,9,-2.00
ATL,33.636719,-84.428067,GPT,30.407278,-89.070111,8,3.32
SEA,47.449,-122.309306,IAH,29.984433,-95.341442,16,-4.33
CLT,35.214,-80.943139,CLE,41.411689,-81.849794,7,0.89
DAL,32.847111,-96.851778,CMH,39.997972,-82.891889,12,8.28
IAH,29.984433,-95.341442,PHX,33.434278,-112.011583,11,10.43
CLT,35.214,-80.943139,RIC,37.505167,-77.319667,22,2.39
DTW,42.212444,-83.353389,PIA,40.664203,-89.693258,20,7.19
DFW,32.896828,-97.037997,PNS,30.473425,-87.186611,16,11.86
MDW,41.785972,-87.752417,CLT,35.214,-80.943139,21,16.36
ORD,41.978603,-87.904842,BDL,41.938889,-72.683222,15,14.60
BNA,36.124472,-86.678194,MSN,43.139858,-89.337514,17,12.00
LAS,36.080056,-115.15225,LGB,33.817722,-118.151611,7,-1.08
TYS,35.810972,-83.994028,ATL,33.636719,-84.428067,12,8.70
DFW,32.896828,-97.037997,OMA,41.303167,-95.894069,23,1.80
EWR,40.6925,-74.168667,PBI,26.683161,-80.095589,16,17.28
MCI,39.297606,-94.713905,DAL,32.847111,-96.851778,15,13.66
BNA,36.124472,-86.678194,MEM,35.042417,-89.976667,6,1.98
SAT,29.533694,-98.469778,PHX,33.434278,-112.011583,10,5.44
MSP,44.881956,-93.221767,RSW,26.536167,-81.755167,17,11.36
DEN,39.861656,-104.673178,SHV,32.446629,-93.8256,9,13.67
EWR,40.6925,-74.168667,ORD,41.978603,-87.904842,11,8.87
TPA,27.975472,-82.53325,CMH,39.997972,-82.891889,22,53.00
MEM,35.042417,-89.976667,HOU,29.645419,-95.278889,7,0.61
CLE,41.411689,-81.849794,BUF,42.940525,-78.732167,12,11.00
SAT,29.533694,-98.469778,LAX,33.942536,-118.408075,13,12.20
LGB,33.817722,-118.151611,AUS,30.194528,-97.669889,10,5.65
MCO,28.429394,-81.308994,LGA,40.777245,-73.872608,10,8.59
IAH,29.984433,-95.341442,SLC,40.788389,-111.977772,7,4.06
PNS,30.473425,-87.186611,ATL,33.636719,-84.428067,11,7.02
SLC,40.788389,-111.977772,IAH,29.984433,-95.341442,18,-8.00
IAD,38.944533,-77.455811,BOS,42.364347,-71.005181,11,-2.76
ORD,41.978603,-87.904842,AVL,35.436194,-82.541806,18,22.41
TPA,27.975472,-82.53325,DEN,39.861656,-104.673178,10,9.97
SLC,40.788389,-111.977772,SFO,37.618972,-122.374889,14,22.25
CLD,33.0742,-117.1648,LAX,33.942536,-118.408075,10,4.90
MSP,44.881956,-93.221767,IAH,29.984433,-95.341442,17,17.20
MYR,33.67975,-78.928333,BOS,42.364347,-71.005181,22,6.51
RDU,35.877639,-78.787472,EWR,40.6925,-74.168667,16,26.47
ORD,41.978603,-87.904842,CAK,40.9160833,-81.4421944,20,6.44
DFW,32.896828,-97.037997,MEM,35.042417,-89.976667,13,13.25
OAK,37.721278,-122.220722,ABQ,35.0402222,-106.6091944,19,21.60
SEA,47.449,-122.309306,FLL,26.072583,-80.15275,21,-0.22
JAC,43.607333333,-110.73775,DFW,32.896828,-97.037997,7,3.41
SNA,33.675667,-117.868222,LAS,36.080056,-115.15225,20,9.00
ORD,41.978603,-87.904842,DEN,39.861656,-104.673178,21,33.89
DFW,32.896828,-97.037997,DEN,39.861656,-104.673178,17,17.14
MLU,32.510864,-92.037689,ATL,33.636719,-84.428067,11,11.15
SAT,29.533694,-98.469778,PHL,39.871944,-75.241139,7,-0.61
HNL,21.318681,-157.922428,LAX,33.942536,-118.408075,22,5.51
TUS,32.116083,-110.941028,SFO,37.618972,-122.374889,15,20.83
XNA,36.2818694,-94.3068111,DFW,32.896828,-97.037997,8,10.72
DFW,32.896828,-97.037997,TUS,32.116083,-110.941028,9,9.84
BOS,42.364347,-71.005181,CVG,39.048836,-84.667822,17,8.60
SAT,29.533694,-98.469778,LAS,36.080056,-115.15225,18,14.56
ATL,33.636719,-84.428067,JFK,40.639751,-73.778925,13,12.08
ORD,41.978603,-87.904842,EWR,40.6925,-74.168667,13,27.06
DAL,32.847111,-96.851778,ABQ,35.0402222,-106.6091944,22,36.80
ORF,36.894611,-76.201222,DTW,42.212444,-83.353389,12,6.09
RDU,35.877639,-78.787472,MSP,44.881956,-93.221767,17,-3.33
SLC,40.788389,-111.977772,SJC,37.3626,-121.929022,11,3.33
ANC,61.174361,-149.996361,LAX,33.942536,-118.408075,0,-2.19
PIT,40.491467,-80.232872,MDW,41.785972,-87.752417,11,4.36
ORD,41.978603,-87.904842,ABQ,35.0402222,-106.6091944,19,31.53
MHT,42.932556,-71.435667,IAD,38.944533,-77.455811,5,7.26
SMF,38.695417,-121.590778,SFO,37.618972,-122.374889,8,18.32
MAF,31.942528,-102.201914,IAH,29.984433,-95.341442,12,6.15
DFW,32.896828,-97.037997,HSV,34.6371944,-86.7750556,20,17.51
COS,38.805805,-104.700778,IAH,29.984433,-95.341442,7,8.54
STL,38.748697,-90.370028,MSP,44.881956,-93.221767,17,10.13
MDW,41.785972,-87.752417,SNA,33.675667,-117.868222,19,9.43
DFW,32.896828,-97.037997,SAT,29.533694,-98.469778,12,8.00
BOS,42.364347,-71.005181,DCA,38.852083,-77.037722,15,4.67
DCA,38.852083,-77.037722,SEA,47.449,-122.309306,7,-0.47
DFW,32.896828,-97.037997,MCO,28.429394,-81.308994,23,6.29
STL,38.748697,-90.370028,LAX,33.942536,-118.408075,12,6.51
SLC,40.788389,-111.977772,COS,38.805805,-104.700778,10,-5.53
DTW,42.212444,-83.353389,CRW,38.373147,-81.593189,17,14.88
ORD,41.978603,-87.904842,CHO,38.138639,-78.452861,15,8.18
SNA,33.675667,-117.868222,PHX,33.434278,-112.011583,20,7.97
ABQ,35.0402222,-106.6091944,HOU,29.645419,-95.278889,17,15.81
IAH,29.984433,-95.341442,RAP,44.045278,-103.057222,11,3.45
DEN,39.861656,-104.673178,SMF,38.695417,-121.590778,17,19.62
PNS,30.473425,-87.186611,MIA,25.79325,-80.290556,7,2.88
LGA,40.777245,-73.872608,DCA,38.852083,-77.037722,14,4.05
LFT,30.205278,-91.987611,ATL,33.636719,-84.428067,14,15.78
BWI,39.175361,-76.668333,DTW,42.212444,-83.353389,10,9.36
DTW,42.212444,-83.353389,GSP,34.895556,-82.218889,21,12.14
BDL,41.938889,-72.683222,DFW,32.896828,-97.037997,7,0.56
LGA,40.777245,-73.872608,BUF,42.940525,-78.732167,9,16.00
TUS,32.116083,-110.941028,SAN,32.733556,-117.189667,16,-6.25
ORD,41.978603,-87.904842,IAD,38.944533,-77.455811,6,6.96
CLT,35.214,-80.943139,MEM,35.042417,-89.976667,14,-2.50
GRB,44.485072,-88.129589,ORD,41.978603,-87.904842,6,1.01
DFW,32.896828,-97.037997,CRW,38.373147,-81.593189,13,19.95
EWR,40.6925,-74.168667,PIT,40.491467,-80.232872,8,7.99
SAN,32.733556,-117.189667,SFO,37.618972,-122.374889,10,15.39
BUR,34.200667,-118.358667,SMF,38.695417,-121.590778,15,9.86
BWI,39.175361,-76.668333,JAX,30.494056,-81.687861,14,14.09
ORD,41.978603,-87.904842,CHO,38.138639,-78.452861,19,34.06
DEN,39.861656,-104.673178,SFO,37.618972,-122.374889,14,17.77
MDW,41.785972,-87.752417,IND,39.717331,-86.294383,11,2.64
SAT,29.533694,-98.469778,IAH,29.984433,-95.341442,6,-0.26
SYR,43.111187,-76.106311,CLT,35.214,-80.943139,8,-0.99
PIT,40.491467,-80.232872,IAH,29.984433,-95.341442,10,-0.81
LEX,38.0365,-84.605889,DCA,38.852083,-77.037722,8,-5.00
ATL,33.636719,-84.428067,MHT,42.932556,-71.435667,21,13.56
FLL,26.072583,-80.15275,ORD,41.978603,-87.904842,8,3.83
DCA,38.852083,-77.037722,CLT,35.214,-80.943139,11,1.95
RDU,35.877639,-78.787472,LAS,36.080056,-115.15225,6,0.85
DTW,42.212444,-83.353389,EWR,40.6925,-74.168667,5,3.66
IAD,38.944533,-77.455811,ATL,33.636719,-84.428067,21,22.77
TPA,27.975472,-82.53325,ORD,41.978603,-87.904842,14,19.62
GPT,30.407278,-89.070111,IAH,29.984433,-95.341442,5,1.08
RSW,26.536167,-81.755167,CLE,41.411689,-81.849794,19,6.82
